match_id,team_id,num_alive,total_health,human_kills,total_armor_score,has_vehicle,num_safe_zone,final_rank,target_is_top_n
20251114_203033_squad_Baltic_Main.jsonl,4,4,381.0,9,11,0,4,1,1
20251114_203033_squad_Baltic_Main.jsonl,3,2,186.0,8,4,1,2,3,1
20251114_203033_squad_Baltic_Main.jsonl,9,2,169.5792236328125,3,4,1,2,4,1
20251114_203033_squad_Baltic_Main.jsonl,2,0,0.0,1,0,0,0,21,0
20251114_203033_squad_Baltic_Main.jsonl,10,4,381.0,2,10,1,4,6,0
20251114_203033_squad_Baltic_Main.jsonl,6,1,83.0,0,2,1,1,9,0
20251114_203033_squad_Baltic_Main.jsonl,8,1,100.0,4,2,0,1,14,0
20251114_203033_squad_Baltic_Main.jsonl,1,1,98.0,1,3,0,1,8,0
20251114_203033_squad_Baltic_Main.jsonl,11,1,78.0,5,3,0,1,12,0
20251114_203033_squad_Baltic_Main.jsonl,7,0,0.0,3,0,0,0,11,0
20251114_203033_squad_Baltic_Main.jsonl,12,4,327.86181259155273,4,8,0,4,2,1
20251114_203033_squad_Baltic_Main.jsonl,5,3,232.0,2,8,0,3,7,0
20251114_203033_squad_Baltic_Main.jsonl,15,1,57.25,2,2,0,1,10,0
20251114_203033_squad_Baltic_Main.jsonl,14,1,39.80000305175781,3,2,0,1,100,0
20251114_203033_squad_Baltic_Main.jsonl,13,0,0.0,0,0,0,0,26,0
20251114_203033_squad_Baltic_Main.jsonl,16,1,100.0,0,0,0,1,100,0
20251114_201613_squad_Baltic_Main.jsonl,4,1,92.20001220703125,5,2,0,0,100,0
20251114_201613_squad_Baltic_Main.jsonl,14,4,386.0,7,8,1,4,1,1
20251114_201613_squad_Baltic_Main.jsonl,17,0,0.0,0,0,1,0,12,0
20251114_201613_squad_Baltic_Main.jsonl,10,0,0.0,3,0,1,0,14,0
20251114_201613_squad_Baltic_Main.jsonl,2,0,0.0,0,0,0,0,15,0
20251114_201613_squad_Baltic_Main.jsonl,19,0,0.0,2,0,1,0,13,0
20251114_201613_squad_Baltic_Main.jsonl,8,0,0.0,2,0,0,0,11,0
20251114_201613_squad_Baltic_Main.jsonl,15,3,277.0,5,6,0,3,2,1
20251114_201613_squad_Baltic_Main.jsonl,1,0,0.0,5,0,1,0,10,0
20251114_201613_squad_Baltic_Main.jsonl,11,1,100.0,0,2,0,1,25,0
20251114_201613_squad_Baltic_Main.jsonl,18,2,177.0,15,4,0,2,3,1
20251114_201613_squad_Baltic_Main.jsonl,20,1,100.0,1,2,0,1,20,0
20251114_201613_squad_Baltic_Main.jsonl,13,1,43.0,0,0,0,1,100,0
20251114_201613_squad_Baltic_Main.jsonl,5,1,100.0,0,0,0,1,100,0
20251114_201613_squad_Baltic_Main.jsonl,3,1,100.0,3,2,0,1,16,0
20251114_201613_squad_Baltic_Main.jsonl,12,3,290.14249420166016,8,7,0,3,8,0
20251114_201613_squad_Baltic_Main.jsonl,9,2,170.5999984741211,4,5,0,2,9,0
20251114_201613_squad_Baltic_Main.jsonl,16,3,300.0,0,0,0,3,100,0
20251114_201613_squad_Baltic_Main.jsonl,22,1,100.0,7,2,1,1,4,1
20251114_201613_squad_Baltic_Main.jsonl,7,3,290.0,1,4,1,3,6,0
20251114_201613_squad_Baltic_Main.jsonl,21,1,9.173574447631836,1,2,0,1,17,0
20251114_201613_squad_Baltic_Main.jsonl,6,1,89.83857727050781,5,2,0,1,100,0
20251114_201613_squad_Baltic_Main.jsonl,23,2,87.0,8,4,0,2,5,0
20251114_201613_squad_Baltic_Main.jsonl,24,3,283.0,5,7,1,3,7,0
20251114_201613_squad_Baltic_Main.jsonl,25,1,81.0,7,2,0,1,22,0
20251114_201613_squad_Baltic_Main.jsonl,26,1,40.763336181640625,1,3,0,1,100,0
20251114_201613_squad_Baltic_Main.jsonl,28,1,100.0,0,0,0,1,100,0
20251114_201613_squad_Baltic_Main.jsonl,29,0,0.0,0,0,0,0,21,0
20251114_201613_squad_Baltic_Main.jsonl,27,1,100.0,0,0,0,1,100,0
20251114_205021_squad_Baltic_Main.jsonl,4,3,300.0,5,6,0,3,1,1
20251114_205021_squad_Baltic_Main.jsonl,3,2,200.0,0,4,1,2,5,0
20251114_205021_squad_Baltic_Main.jsonl,2,3,292.5957794189453,2,7,1,3,4,1
20251114_205021_squad_Baltic_Main.jsonl,1,1,29.200000762939453,0,3,0,0,15,0
20251114_204843_squad_Baltic_Main.jsonl,2,3,162.6401710510254,4,7,0,3,1,1
20251114_204843_squad_Baltic_Main.jsonl,4,1,25.114521026611328,1,3,0,0,2,1
20251114_204843_squad_Baltic_Main.jsonl,3,3,289.7763671875,0,6,1,3,3,1
20251114_204843_squad_Baltic_Main.jsonl,1,1,36.260498046875,0,2,0,1,100,0
20251114_203523_squad_Baltic_Main.jsonl,3,4,362.7359275817871,6,9,1,4,6,0
20251114_203523_squad_Baltic_Main.jsonl,6,0,0.0,1,0,0,0,23,0
20251114_203523_squad_Baltic_Main.jsonl,7,3,300.0,0,0,0,3,100,0
20251114_203523_squad_Baltic_Main.jsonl,11,4,300.5289611816406,6,8,1,4,3,1
20251114_203523_squad_Baltic_Main.jsonl,2,3,259.1329040527344,10,7,1,3,4,1
20251114_203523_squad_Baltic_Main.jsonl,9,0,0.0,0,0,0,0,24,0
20251114_203523_squad_Baltic_Main.jsonl,8,2,154.0,3,4,1,1,2,1
20251114_203523_squad_Baltic_Main.jsonl,1,1,100.0,3,3,1,1,100,0
20251114_203523_squad_Baltic_Main.jsonl,12,1,90.0,6,3,1,1,5,0
20251114_203523_squad_Baltic_Main.jsonl,13,0,0.0,8,0,1,0,12,0
20251114_203523_squad_Baltic_Main.jsonl,5,3,300.0,0,6,1,3,7,0
20251114_203523_squad_Baltic_Main.jsonl,14,0,0.0,3,0,0,0,19,0
20251114_203523_squad_Baltic_Main.jsonl,10,0,0.0,0,0,0,0,27,0
20251114_203523_squad_Baltic_Main.jsonl,16,4,305.0,8,8,0,4,1,1
20251114_203523_squad_Baltic_Main.jsonl,4,0,0.0,0,0,0,0,25,0
20251114_203523_squad_Baltic_Main.jsonl,15,0,0.0,0,0,0,0,26,0
20251114_203356_squad_Baltic_Main.jsonl,4,0,0.0,3,0,1,0,12,0
20251114_203356_squad_Baltic_Main.jsonl,13,0,0.0,4,0,1,0,10,0
20251114_203356_squad_Baltic_Main.jsonl,1,3,282.87408447265625,0,4,0,3,29,0
20251114_203356_squad_Baltic_Main.jsonl,19,4,340.12670135498047,7,10,0,4,3,1
20251114_203356_squad_Baltic_Main.jsonl,2,2,84.33999824523926,3,4,0,2,25,0
20251114_203356_squad_Baltic_Main.jsonl,5,0,0.0,2,0,0,0,16,0
20251114_203356_squad_Baltic_Main.jsonl,8,3,236.0,12,6,0,3,2,1
