match_id,time_sec,team_id,is_winner,P1_health,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_nade,P1_kill,P1_veh,P1_rel_x,P1_rel_y,P1_z,P2_health,P2_groggy,P2_helm,P2_vest,P2_smoke,P2_nade,P2_kill,P2_veh,P2_rel_x,P2_rel_y,P2_z,P3_health,P3_groggy,P3_helm,P3_vest,P3_smoke,P3_nade,P3_kill,P3_veh,P3_rel_x,P3_rel_y,P3_z,P4_health,P4_groggy,P4_helm,P4_vest,P4_smoke,P4_nade,P4_kill,P4_veh,P4_rel_x,P4_rel_y,P4_z,num_alive,total_health
noai.jsonl,1299,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,80.0,0,2,2,1,1,1,0,12592.56,11954.94,-0.44,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,80.0
noai.jsonl,1299,14,1,40.0,0,2,1,4,2,2,0,-13215.97,18577.69,-0.28,34.0,0,2,2,2,1,1,0,7826.31,17725.0,-0.81,4.0,0,2,1,1,1,0,0,-17533.84,23673.38,-0.66,67.0,0,2,2,2,2,0,0,7656.69,17638.25,-0.82,4,145.0
noai.jsonl,1299,15,0,83.0,0,2,1,2,3,3,0,-11229.22,16363.5,-0.28,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,83.0
noai.jsonl,1299,18,0,76.28,0,3,1,0,1,9,0,-2771.75,-16310.31,1.34,100.0,0,2,1,0,0,3,0,-2868.06,-15513.12,1.49,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,176.28
noai.jsonl,1299,22,0,100.0,0,2,2,1,1,1,0,17114.53,912.19,-0.56,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,100.0
noai.jsonl,1299,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,65.0,0,2,2,1,1,1,0,18398.41,-5828.75,-0.92,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,65.0
noai.jsonl,1309,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,82.0,0,2,2,1,1,1,0,12023.62,9718.0,-0.38,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,82.0
noai.jsonl,1309,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,65.0,0,2,2,2,1,1,0,7425.47,18362.75,-1.11,29.41,0,2,1,1,1,0,1,-14307.97,7561.19,-0.07,26.0,0,2,2,2,2,0,0,5759.66,18532.38,-0.64,3,120.41
noai.jsonl,1309,15,0,35.0,0,2,1,2,3,3,0,-11196.91,17319.19,-0.45,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,35.0
noai.jsonl,1309,18,0,80.28,0,3,1,0,1,9,0,-711.97,-15163.38,1.4,100.0,0,2,1,0,0,3,0,-66.0,-15520.69,1.44,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,180.28
noai.jsonl,1309,22,0,100.0,0,2,2,1,1,1,0,16593.91,469.19,-0.74,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,100.0
noai.jsonl,1309,23,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,62.0,0,2,2,1,1,1,0,17187.88,-6203.94,-1.01,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,62.0
noai.jsonl,1319,7,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,86.0,0,2,2,1,1,1,0,11742.19,8739.31,-0.32,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,86.0
noai.jsonl,1319,14,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,45.0,0,2,2,2,1,1,0,5961.09,20330.5,-1.21,33.41,0,2,1,1,1,0,1,-9398.12,-12893.19,0.79,6.0,0,2,2,2,2,0,0,4683.12,17308.06,-0.68,3,84.41
noai.jsonl,1319,15,0,14.0,0,2,1,2,3,4,0,-9776.34,14454.5,-0.62,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,14.0
noai.jsonl,1319,18,0,84.28,0,3,1,0,1,9,0,979.84,-15422.81,1.07,100.0,0,2,1,0,0,3,0,644.69,-16923.19,1.35,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,184.28
