filename,filepath,total_players,ai_count,ai_ratio
20251107_155815_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_155815_squad_Baltic_Main.jsonl,97,44,0.4536082474226804
20251112_183432_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251112_183432_squad_Baltic_Main.jsonl,100,91,0.91
20251115_032551_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_032551_squad_Tiger_Main.jsonl,100,86,0.86
20251106_165331_squad_Tiger_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_165331_squad_Tiger_Main.jsonl,89,40,0.449438202247191
20251110_075237_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_075237_squad_Baltic_Main.jsonl,100,91,0.91
20251115_095317_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_095317_squad_Baltic_Main.jsonl,100,91,0.91
20251110_115421_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_115421_squad_Baltic_Main.jsonl,100,91,0.91
20251111_112005_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251111_112005_squad_Baltic_Main.jsonl,95,44,0.4631578947368421
20251115_144225_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251115_144225_squad_Baltic_Main.jsonl,100,92,0.92
20251114_134508_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251114_134508_squad_Baltic_Main.jsonl,100,90,0.9
20251107_154725_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251107_154725_squad_Baltic_Main.jsonl,100,92,0.92
20251106_021435_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251106_021435_squad_Baltic_Main.jsonl,100,92,0.92
20251110_122659_squad_Baltic_Main.jsonl,G:/내 드라이브/telemetry_for_top15\20251110_122659_squad_Baltic_Main.jsonl,99,92,0.9292929292929293
