match_id,time_sec,team_id,is_winner,P1_hp,P1_groggy,P1_helm,P1_vest,P1_smoke,P1_kill,P1_medkit,P1_firstaid,P1_painkiller,P1_drink,P1_adrenaline,P1_grenade,P1_flash,P1_molotov,P1_dX,P1_dY,P1_z_norm,P2_hp,P2_groggy,P2_medkit,P2_firstaid,P2_painkiller,P2_drink,P2_adrenaline,P2_smoke,P2_grenade,P2_flash,P2_molotov,P2_helm,P2_vest,P2_kill,P2_dX,P2_dY,P2_z_norm,P3_hp,P3_groggy,P3_medkit,P3_firstaid,P3_painkiller,P3_drink,P3_adrenaline,P3_smoke,P3_grenade,P3_flash,P3_molotov,P3_helm,P3_vest,P3_kill,P3_dX,P3_dY,P3_z_norm,P4_hp,P4_groggy,P4_medkit,P4_firstaid,P4_painkiller,P4_drink,P4_adrenaline,P4_smoke,P4_grenade,P4_flash,P4_molotov,P4_helm,P4_vest,P4_kill,P4_dX,P4_dY,P4_z_norm,num_alive,total_health
vikendi1st.jsonl,1388,0,0,1600.0,0,0,0,0,2,0,0,0,0,0,0,0,0,229850.94,-95973.44,-1.35,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1600.0
vikendi1st.jsonl,1388,11,0,75.0,0,2,2,3,2,0,6,0,7,0,3,1,3,6654.03,14652.09,1.64,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5891.75,14832.25,1.69,2,152.0
vikendi1st.jsonl,1388,18,1,100.0,0,2,2,2,2,0,3,1,2,0,3,0,0,-11206.31,4828.53,-0.11,96.0,0,0,2,0,3,0,0,4,2,1,2,2,1,-9569.41,2253.56,-0.05,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11656.97,4279.28,-0.22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,296.0
vikendi1st.jsonl,1388,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,0,3,0,7,8,6,2,2,2,6,16167.22,3680.84,0.16,1,88.0
vikendi1st.jsonl,1388,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13926.75,-11226.22,-0.82,94.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-14366.69,-8265.81,-0.94,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,177.0
vikendi1st.jsonl,1389,0,0,1232.13,0,0,0,0,2,0,0,0,0,0,0,0,0,189868.19,16716.72,-1.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1232.13
vikendi1st.jsonl,1389,11,0,75.0,0,2,2,3,2,0,6,0,7,0,3,1,3,6654.03,14652.09,1.69,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,77.0,0,0,5,0,1,0,6,7,3,2,2,3,2,5891.75,14832.25,1.74,2,152.0
vikendi1st.jsonl,1389,18,1,100.0,0,2,2,2,2,0,3,1,2,0,3,0,0,-11206.31,4828.53,-0.17,96.0,0,0,2,0,3,0,0,4,2,1,2,2,1,-9569.41,2253.56,-0.11,100.0,0,1,3,1,5,0,0,2,0,0,2,3,0,-11656.97,4279.28,-0.29,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,296.0
vikendi1st.jsonl,1389,21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.0,0,0,5,0,3,0,7,8,6,2,2,2,6,16167.22,3680.84,0.12,1,88.0
vikendi1st.jsonl,1389,25,0,83.0,0,2,2,6,2,0,3,0,0,0,4,4,2,-13926.75,-11226.22,-0.92,94.0,0,0,6,0,0,0,0,3,1,2,2,2,1,-14366.69,-8265.81,-1.05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,177.0
